date,bipartisanship_ratio
2003-01-01,0.6
2003-02-01,0.92
2003-03-01,0.8288288288288288
2003-04-01,0.6842105263157895
2003-05-01,0.6535433070866141
2003-06-01,0.689873417721519
2003-07-01,0.6265060240963856
2003-09-01,0.8557692307692307
2003-10-01,0.672
2003-11-01,0.7613636363636364
2003-12-01,0.0
2004-01-01,0.7333333333333333
2004-02-01,0.7941176470588235
2004-03-01,0.8899082568807339
2004-04-01,0.6382978723404256
2004-05-01,0.6989247311827957
2004-06-01,0.6506849315068494
2004-07-01,0.7448979591836735
2004-09-01,0.7419354838709677
2004-10-01,0.7377049180327869
2004-11-01,0.5333333333333333
2004-12-01,1.0
2005-01-01,0.6
2005-02-01,0.7878787878787878
2005-03-01,0.7815126050420168
2005-04-01,0.735632183908046
2005-05-01,0.735632183908046
2005-06-01,0.6904761904761905
2005-07-01,0.7050359712230215
2005-09-01,0.8333333333333334
2005-10-01,0.8157894736842105
2005-11-01,0.8571428571428571
2005-12-01,0.6582278481012658
2006-02-01,0.7777777777777778
2006-03-01,0.75
2006-04-01,0.7441860465116279
2006-05-01,0.6419753086419753
2006-06-01,0.6369426751592356
2006-07-01,0.6666666666666666
2006-08-01,0.6666666666666666
2006-09-01,0.5555555555555556
2006-11-01,0.9285714285714286
2006-12-01,0.7391304347826086
2007-01-01,0.8095238095238095
2007-02-01,0.875
2007-03-01,0.6871165644171779
2007-04-01,0.7105263157894737
2007-05-01,0.6910112359550562
2007-06-01,0.4340425531914894
2007-07-01,0.5
2007-08-01,0.46835443037974683
2007-09-01,0.8189655172413793
2007-10-01,0.8285714285714286
2007-11-01,0.8020833333333334
2007-12-01,0.8681318681318682
2008-01-01,0.7096774193548387
2008-02-01,0.9156626506024096
2008-03-01,0.7244897959183674
2008-04-01,0.7981651376146789
2008-05-01,0.8633093525179856
2008-06-01,0.8739495798319328
2008-07-01,0.8803418803418803
2008-08-01,0.625
2008-09-01,0.9401709401709402
2008-10-01,1.0
2008-11-01,1.0
2008-12-01,1.0
2009-01-01,0.6805555555555556
2009-02-01,0.691358024691358
2009-03-01,0.7642276422764228
2009-04-01,0.625
2009-05-01,0.7906976744186046
2009-06-01,0.6096256684491979
2009-07-01,0.5683760683760684
2009-08-01,0.4
2009-09-01,0.7674418604651163
2009-10-01,0.8738738738738738
2009-11-01,0.8421052631578947
2009-12-01,0.8429752066115702
2010-01-01,0.7777777777777778
2010-02-01,0.9090909090909091
2010-03-01,0.859375
2010-04-01,0.9
2010-05-01,0.7928571428571428
2010-06-01,0.8541666666666666
2010-07-01,0.8347826086956521
2010-08-01,0.7777777777777778
2010-09-01,0.873015873015873
2010-11-01,0.8666666666666667
2010-12-01,0.9702970297029703
2011-01-01,0.5357142857142857
2011-02-01,0.41007194244604317
2011-03-01,0.5945945945945946
2011-04-01,0.4788732394366197
2011-05-01,0.6896551724137931
2011-06-01,0.484375
2011-07-01,0.5959595959595959
2011-08-01,0.625
2011-09-01,0.5512820512820513
2011-10-01,0.7373737373737373
2011-11-01,0.7066666666666667
2011-12-01,0.6703296703296703
2012-01-01,0.6666666666666666
2012-02-01,0.6521739130434783
2012-03-01,0.6404494382022472
2012-04-01,0.5714285714285714
2012-05-01,0.5
2012-06-01,0.4797979797979798
2012-07-01,0.6979166666666666
2012-08-01,0.47368421052631576
2012-09-01,0.6666666666666666
2012-11-01,0.8
2012-12-01,0.765625
2013-01-01,0.5897435897435898
2013-02-01,0.5483870967741935
2013-03-01,0.38202247191011235
2013-04-01,0.7083333333333334
2013-05-01,0.6388888888888888
2013-06-01,0.6319444444444444
2013-07-01,0.6692913385826772
2013-08-01,0.5238095238095238
2013-09-01,0.6190476190476191
2013-10-01,0.3283582089552239
2013-11-01,0.6666666666666666
2013-12-01,0.7647058823529411
2014-01-01,0.6190476190476191
2014-02-01,0.6714285714285714
2014-03-01,0.6805555555555556
2014-04-01,0.6
