,date,party,lugar
0,2013-01-01,Democrat,0.18584070796460178
1,2013-01-01,Republican,0.48699763593380613
2,2013-02-01,Democrat,0.34192439862542956
3,2013-02-01,Republican,0.5340022296544036
4,2013-03-01,Democrat,0.328719723183391
5,2013-03-01,Republican,0.291497975708502
6,2013-04-01,Democrat,0.2716390423572744
7,2013-04-01,Independent,0.6666666666666666
8,2013-04-01,Republican,0.5728643216080402
9,2013-05-01,Democrat,0.34345351043643263
10,2013-05-01,Independent,0.5384615384615384
11,2013-05-01,Republican,0.4620355411954766
12,2013-06-01,Democrat,0.32516703786191536
13,2013-06-01,Independent,0.0
14,2013-06-01,Republican,0.4746450304259635
15,2013-07-01,Democrat,0.28535353535353536
16,2013-07-01,Republican,0.296875
17,2013-08-01,Democrat,0.2589928057553957
18,2013-08-01,Republican,0.37209302325581395
19,2013-09-01,Democrat,0.35542168674698793
20,2013-09-01,Independent,0.875
21,2013-09-01,Republican,0.22508038585209003
22,2013-10-01,Democrat,0.3218390804597701
23,2013-10-01,Independent,0.6666666666666666
24,2013-10-01,Republican,0.30340557275541796
25,2013-11-01,Democrat,0.39863325740318906
26,2013-11-01,Republican,0.5130568356374808
27,2013-12-01,Democrat,0.4657534246575342
28,2013-12-01,Republican,0.329608938547486
29,2014-01-01,Democrat,0.16455696202531644
30,2014-01-01,Independent,0.9
31,2014-01-01,Republican,0.4094955489614243
32,2014-02-01,Democrat,0.2248062015503876
33,2014-02-01,Independent,0.9666666666666667
34,2014-02-01,Republican,0.2375886524822695
35,2014-03-01,Democrat,0.4801980198019802
36,2014-03-01,Republican,0.49282296650717705
37,2014-04-01,Democrat,0.23622047244094488
38,2014-04-01,Republican,0.25609756097560976
39,2014-05-01,Democrat,0.34
40,2014-05-01,Republican,0.5035971223021583
41,2014-06-01,Democrat,0.2658959537572254
42,2014-06-01,Independent,0.97
43,2014-06-01,Republican,0.2623376623376623
44,2014-07-01,Democrat,0.3983050847457627
45,2014-07-01,Republican,0.323943661971831
46,2014-08-01,Democrat,0.25
47,2014-08-01,Republican,0.0
48,2014-09-01,Democrat,0.22448979591836735
49,2014-09-01,Independent,0.9761904761904762
50,2014-09-01,Republican,0.3225806451612903
51,2014-11-01,Democrat,0.3584905660377358
52,2014-11-01,Republican,0.5
53,2014-12-01,Democrat,0.3333333333333333
54,2014-12-01,Republican,0.36904761904761907
