DATE,T10YIE,T10YIE_PCH
2003-01-01,1.7542857142857143,.
2003-02-01,1.9126315789473684,9.02623
2003-03-01,1.8628571428571429,-2.60241
2003-04-01,1.7747619047619048,-4.72904
2003-05-01,1.6609523809523810,-6.41266
2003-06-01,1.6123809523809524,-2.92431
2003-07-01,1.8659090909090909,15.72384
2003-08-01,2.1247619047619048,13.87275
2003-09-01,2.0880952380952381,-1.72568
2003-10-01,2.2140909090909091,6.03400
2003-11-01,2.3361111111111111,5.51107
2003-12-01,2.2840909090909091,-2.22679
2004-01-01,2.2630000000000000,-0.92338
2004-02-01,2.3221052631578947,2.61181
2004-03-01,2.3613043478260870,1.68808
2004-04-01,2.4447619047619048,3.53438
2004-05-01,2.6255000000000000,7.39287
2004-06-01,2.5876190476190476,-1.44281
2004-07-01,2.4738095238095238,-4.39823
2004-08-01,2.4218181818181818,-2.10167
2004-09-01,2.3266666666666667,-3.92893
2004-10-01,2.3680000000000000,1.77650
2004-11-01,2.5180000000000000,6.33446
2004-12-01,2.5622727272727273,1.75825
2005-01-01,2.4980000000000000,-2.50843
2005-02-01,2.5342105263157895,1.44958
2005-03-01,2.7104545454545455,6.95459
2005-04-01,2.6352380952380952,-2.77505
2005-05-01,2.4909523809523810,-5.47524
2005-06-01,2.3236363636363636,-6.71695
2005-07-01,2.3010000000000000,-0.97418
2005-08-01,2.3734782608695652,3.14986
2005-09-01,2.5000000000000000,5.33065
2005-10-01,2.5210000000000000,0.84000
2005-11-01,2.4715000000000000,-1.96351
2005-12-01,2.3438095238095238,-5.16652
2006-01-01,2.4100000000000000,2.82406
2006-02-01,2.5200000000000000,4.56432
2006-03-01,2.5265217391304348,0.25880
2006-04-01,2.5815789473684211,2.17917
2006-05-01,2.6640909090909091,3.19618
2006-06-01,2.5768181818181818,-3.27589
2006-07-01,2.5805000000000000,0.14288
2006-08-01,2.5856521739130435,0.19966
2006-09-01,2.3995000000000000,-7.19943
2006-10-01,2.3176190476190476,-3.41242
2006-11-01,2.3033333333333333,-0.61640
2006-12-01,2.3140000000000000,0.46310
2007-01-01,2.3228571428571429,0.38276
2007-02-01,2.3621052631578947,1.68965
